ULIKey,FirstSeen,Address,Village,Price,VLSNumber,DaysOnMarket
S107.25,2026-02-21,1505 INMAN MILLS RD,The Village of Virginia Trace,688000,248850,217
S112.64,2026-02-21,1262 PAGELAND WAY,The Village of Caroline,350000,248944,217
S112.130,2026-02-21,299 LEESVILLE ST,The Village of Caroline,310000,248122,217
S670.18,2026-02-21,300 KATHERINE PL,The Village of Caroline,289000,249019,217
S670.29,2026-02-21,1567 WOODFIELD WAY,The Village of Caroline,305000,248888,217
S670.81,2026-02-21,300 STARR LN,The Village of Caroline,300000,248499,217
S115.28,2026-02-21,1469 DALZELL CT,The Village of Mallory Square,475000,249161,217
S115.106,2026-02-21,499 MALLORY HILL DR,The Village of Mallory Square,399000,248562,217
S115.200,2026-02-21,1605 LYNCHBURG LOOP,The Village of Mallory Square,525000,247953,217
S115.261,2026-02-21,628 MALLORY HILL DR,The Village of Mallory Square,425000,249183,217
S115.320,2026-02-21,647 MALLORY HILL DR,The Village of Mallory Square,439000,249284,217
S126.248,2026-02-21,587 LITTLE RIVER PATH,The Village of Mallory Square,384711,249270,217
S669.99,2026-02-21,277 VARNVILLE WAY,The Village of Mallory Square,279900,248952,217
S672.7,2026-02-21,422 CARLISLE CT,The Village of Mallory Square,379900,249294,217
S676.72,2026-02-21,1089 SUMMERTON ST,The Village of Sabal Chase,425000,248918,217
S118.97,2026-02-21,751 ASTOR WAY,The Village of Sabal Chase,629000,248289,217
S119.33,2026-02-21,1100 GOLDEN GROVE DR,The Village of Sabal Chase,424900,247409,217
S120.35,2026-02-21,1112 RIDGELAND PATH,The Village of Sabal Chase,570000,248349,217
S121.116,2026-02-21,1885 POPPY CIR,The Village of Sabal Chase,419000,248485,217
S122.75,2026-02-21,702 CORDOVA CIR,The Village of Largo,369000,248194,217
S122.128,2026-02-21,2176 BLACKVILLE DR,The Village of Largo,729000,249001,217
S122.328,2026-02-21,707 CORDOVA CIR,The Village of Largo,382500,249107,217
S105.73,2026-02-21,817 EVANS WAY,The Village of Bridgeport at Lake Sumter,1174000,248884,217
S105.83,2026-02-21,1128 HARLEY CIR,The Village of Bridgeport at Lake Sumter,1200000,247980,217
S127.153,2026-02-21,499 CORBETT DR,The Village of Amelia,295800,247591,217
S128.66,2026-02-21,561 INNER CIR,The Village of Amelia,1100000,248504,217
S130.56,2026-02-21,1908 HARSTON TRL,The Village of Amelia,297094,248269,217
S130.116,2026-02-21,486 KEYHOLE ST,The Village of Amelia,345000,248950,217
S700.28,2026-02-21,1986 KAY TER,The Village of Amelia,349000,248397,217
S700.59,2026-02-21,591 AUDREY LN,The Village of Amelia,324900,248145,217
S146.164,2026-02-21,1567 TALLOWTREE DR,The Village of Duval,339997,249342,217
S146.347,2026-02-21,2600 ENGLISH IVY CIR,The Village of Duval,349985,249309,217
S146.393,2026-02-21,2525 ENGLISH IVY CIR,The Village of Duval,449900,248732,217
S702.57,2026-02-21,2343 RIDGEWAY CT,The Village of Duval,340000,248986,217
S705.88,2026-02-21,2627 EVERWOOD CT,The Village of Duval,284900,249188,217
S714.44,2026-02-21,2395 CHESTNUT TER,The Village of Duval,339000,249334,217
S714.80,2026-02-21,1543 DOUBLE PALM PL,The Village of Duval,325000,247765,217
S707.19,2026-02-21,1409 CHATEAU WAY,The Village of Duval,359000,247806,217
S136.121,2026-02-21,984 BAISLEY TRL,The Village of Bonita,849900,248274,217
S136.144,2026-02-21,2264 QUINCY CT,The Village of Bonita,355000,248906,217
S136.159,2026-02-21,770 GOLIATH PL,The Village of Bonita,389000,248356,217
S140.10,2026-02-21,2323 BRAMBLE TER,The Village of Bonita,849000,248791,217
S141.87,2026-02-21,2296 HEATH SPRINGS DR,The Village of Bonita,1199999,249312,217
S712.29,2026-02-21,2371 OTHELLO CT,The Village of Bonita,368000,247631,217
S712.34,2026-02-21,737 LENORE LN,The Village of Bonita,344000,248300,217
S132.129,2026-02-21,2280 HACKNEY WAY,The Village of Hadley,357900,247091,217
S133.71,2026-02-21,2398 GATSBY LN,The Village of Hadley,849900,248941,217
S135.287,2026-02-21,504 AINSWORTH CIR,The Village of Hadley,369000,248811,217
S715.11,2026-02-21,2595 DARTFORD TER,The Village of Hadley,539000,248165,217
S715.32,2026-02-21,2644 BAINBRIDGE LN,The Village of Hadley,345000,248093,217
S138.56,2026-02-21,929 NASH LOOP,The Village of Hemingway,339700,249095,217
S138.118,2026-02-21,2566 JERICHO WAY,The Village of Hemingway,379900,249275,217
S138.206,2026-02-21,1048 NASH LOOP,The Village of Hemingway,324995,248985,217
S143.48,2026-02-21,2727 BECKETT RUN,The Village of Hemingway,875000,248060,217
S172.16,2026-02-21,2729 JANWOOD AVE,The Village of Hemingway,769000,249129,217
S710.58,2026-02-21,971 MARGAUX TRL,The Village of Hemingway,279800,249158,217
S708.25,2026-02-21,2552 MOSBY TER,The Village of Hemingway,425000,248733,217
S708.26,2026-02-21,2546 MOSBY TER,The Village of Hemingway,445000,248390,217
S708.43,2026-02-21,1064 BERG CT,The Village of Hemingway,398500,247572,217
S171.60,2026-02-21,2252 CLEARWATER RUN,The Village of Bridgeport at Miona Shores,1395000,249043,217
S171.84,2026-02-21,2257 CLEARWATER RUN,The Village of Bridgeport at Miona Shores,1900000,248254,217
S148.41,2026-02-21,1612 DUTCHESS LOOP,The Village of St. Charles,495000,249171,217
S148.53,2026-02-21,1729 DUTCHESS LOOP,The Village of St. Charles,489900,248404,217
S149.77,2026-02-21,1776 BASSINGER CT,The Village of St. Charles,299711,248928,217
S150.173,2026-02-21,2022 FOGGY BROOK LOOP,The Village of St. Charles,599900,248848,217
S823.52,2026-02-21,1792 ORANGE CT,The Village of St. Charles,289900,249223,217
S815.39,2026-02-21,1862 HALLANDALE LN,The Village of St. Charles,306900,249088,217
S815.70,2026-02-21,1858 ENDSLEY CT,The Village of St. Charles,299000,249215,217
S816.9,2026-02-21,1795 HORTENSIA PL,The Village of St. Charles,334900,248687,217
S816.50,2026-02-21,1791 HUCKLEBERRY ST,The Village of St. Charles,329500,249037,217
S821.14,2026-02-21,2219 JETTA WAY,The Village of Pennecamp,309550,249265,217
S821.17,2026-02-21,2237 JETTA WAY,The Village of Pennecamp,295999,249057,217
S809.44,2026-02-21,1937 NEEDLEWOOD LN,The Village of Pennecamp,324900,248325,217
S825.48,2026-02-21,2295 TRAILWINDS TER,The Village of Tamarind Grove,474900,249260,217
S825.81,2026-02-21,2323 NAUTILUS LN,The Village of Tamarind Grove,484900,247968,217
S155.11,2026-02-21,2341 MONTBROOK PL,The Village of Tamarind Grove,327000,248031,217
S155.92,2026-02-21,2393 HIGHBANKS CT,The Village of Tamarind Grove,316900,247611,217
S159.85,2026-02-21,2450 CARRIAGE HILL WAY,The Village of Tamarind Grove,675000,247491,217
S159.96,2026-02-21,2419 CARRIAGE HILL WAY,The Village of Tamarind Grove,868800,248689,217
S160.110,2026-02-21,2287 NEWBURN LN,The Village of Tamarind Grove,499985,248531,217
S160.150,2026-02-21,2499 BACHMAN PATH,The Village of Tamarind Grove,429900,249079,217
S160.193,2026-02-21,2370 BACHMAN PATH,The Village of Tamarind Grove,469900,248714,217
S811.44,2026-02-21,2264 WAYLAND ST,The Village of Tamarind Grove,365000,248833,217
S810.45,2026-02-21,2497 CEDAR KEY LN,The Village of Buttonwood,289000,248470,217
S810.47,2026-02-21,2505 CEDAR KEY LN,The Village of Buttonwood,299000,248862,217
S807.53,2026-02-21,2500 GRANVILLE TER,The Village of Buttonwood,319900,249007,217
S157.92,2026-02-21,2023 CHALMER TER,The Village of Buttonwood,789000,248341,217
S161.93,2026-02-21,2175 DORST LN,The Village of Buttonwood,469000,249012,217
S161.112,2026-02-21,2240 BACHMAN PATH,The Village of Buttonwood,539000,249105,217
S170.68,2026-02-21,2596 BUTTONWOOD RUN,The Village of Buttonwood,324900,248453,217
S170.200,2026-02-21,1965 DALECROFT TRL,The Village of Buttonwood,649900,246266,217
S170.270,2026-02-21,1963 HARDING PATH,The Village of Buttonwood,394500,247281,217
S812.64,2026-02-21,2292 CRESTVIEW ST,The Village of Buttonwood,414900,249156,217
S828.57,2026-02-21,1234 MERRYWEATHER WAY,The Village of Bridgeport-Creekside Landing,459500,248582,217
S828.59,2026-02-21,1226 MERRYWEATHER WAY,The Village of Bridgeport-Creekside Landing,470000,247948,217
S814.40,2026-02-21,1887 LOADSTAR AVE,The Village of St. James,499600,248009,217
S814.55,2026-02-21,1935 FAIRWINDS PL,The Village of St. James,354000,249021,217
S153.125,2026-02-21,2048 PAISLEY WAY,The Village of St. James,485000,249212,217
S175.31,2026-02-21,2924 JURGENSEN TER,The Village of Sanibel,497500,249327,217
S175.135,2026-02-21,664 ALWICK WAY,The Village of Sanibel,525000,248874,217
S176.32,2026-02-21,2875 ADRIENNE WAY,The Village of Sanibel,549000,248748,217
S176.68,2026-02-21,2966 BRADDY CT,The Village of Sanibel,549000,248301,217
S176.171,2026-02-21,2912 ASHER PATH,The Village of Sanibel,549900,246821,217
S177.9,2026-02-21,952 VANILLA LEAF PL,The Village of Sanibel,587000,248384,217
S177.117,2026-02-21,2921 FRENCH OAK AVE,The Village of Sanibel,539900,249035,217
S177.136,2026-02-21,923 VANILLA LEAF PL,The Village of Sanibel,519316,248662,217
S178.135,2026-02-21,3158 RAVEN CROFT TER,The Village of Sanibel,524900,249372,217
S949.56,2026-02-21,732 RICHFIELD ST,The Village of Sanibel,429900,249205,217
S802.80,2026-02-21,1021 MALLARD LN,The Village of Bridgeport - Edgewater,529000,249151,217
S205.213,2026-02-21,1269 TANGELO LN,The Village of Fernandina,504900,247936,217
S206.148,2026-02-21,3199 LAFAYETTE ST,The Village of Fernandina,529900,248855,217
S208.11,2026-02-21,1357 OWL DR,The Village of Fernandina,474900,247864,217
S208.60,2026-02-21,1244 THUNDERBIRD WAY,The Village of Fernandina,585000,248200,217
S208.83,2026-02-21,1328 MOCKINGBIRD LN,The Village of Fernandina,559000,248367,217
S208.110,2026-02-21,1276 MOCKINGBIRD LN,The Village of Fernandina,459000,248016,217
S215.8,2026-02-21,3361 BRASSIE TER,The Village of Fernandina,499900,248829,217
S215.122,2026-02-21,3354 RIDGEWOOD PATH,The Village of Fernandina,899999,248799,217
S941.59,2026-02-21,1109 TIPTON LN,The Village of Fernandina,344900,248288,217
S952.46,2026-02-21,1433 DYNASTY PL,The Village of Fernandina,278500,247586,217
S952.66,2026-02-21,1479 OLYMPIA ST,The Village of Fernandina,319900,249245,217
S181.49,2026-02-21,3389 GREENACRES TER,The Village of Charlotte,349900,249176,217
S181.157,2026-02-21,3462 GREENACRES TER,The Village of Charlotte,410000,248710,217
S196.48,2026-02-21,3372 MAYFLOWER LOOP,The Village of Charlotte,715000,248753,217
S196.176,2026-02-21,809 ENISGROVE WAY,The Village of Charlotte,559777,248544,217
S945.13,2026-02-21,3331 OVERLAND TER,The Village of Charlotte,369000,249196,217
S945.36,2026-02-21,3362 SEBASTION AVE,The Village of Charlotte,380000,248091,217
S188.53,2026-02-21,717 ROCKINGHAM RD,The Village of Charlotte,849000,247837,217
S209.70,2026-02-21,3138 AMHERST WAY,The Village of Gilchrist,689000,248273,217
S210.131,2026-02-21,2991 OLENDA DR,The Village of Gilchrist,574000,249068,217
S211.74,2026-02-21,3067 BUREAU PATH,The Village of Gilchrist,859316,248734,217
S211.165,2026-02-21,1594 NORWOOD ST,The Village of Gilchrist,585000,248726,217
S212.58,2026-02-21,2965 STEPPING STONE PATH,The Village of Gilchrist,724900,249072,217
S214.97,2026-02-21,3242 ORANGEDALE TER,The Village of Gilchrist,449900,249135,217
S953.43,2026-02-21,1751 BRANDENBURG CT,The Village of Gilchrist,335000,249081,217
S697.5,2026-02-21,5 HICKORY HEAD HAMMOCK,The Village of Hickory Head Hammock,499711,247990,217
S224.77,2026-02-21,2873 BORDER CT,The Village of Pinellas,540000,247655,217
